year,team,player,goals,shots,mins,gps
2010,PIT,Marc-Andre Fleury,37,339,798,1.1411931739996133
2010,SJS,Evgeni Nabokov,38,407,890,1.9633137645390701
2010,SJS,Thomas Greiss,2,28,40,0.1918089270579163
2010,VAN,Andrew Raycroft,1,7,25,0.0017653359535231442
2010,VAN,Roberto Luongo,38,362,707,1.3581336586969879
2010,WSH,Jose Theodore,5,40,81,0.07606891375006926
2010,WSH,Semyon Varlamov,14,153,349,0.7643792771563136
2011,ANA,Dan Ellis,4,24,41,-0.07781475107312515
2011,ANA,Ray Emery,17,165,319,0.49909172264480994
2011,BOS,Tim Thomas,51,849,1542,6.159985688661086
2011,BUF,Jhonas Enroth,1,8,17,0.006889309523959737
2011,BUF,Ryan Miller,20,242,410,1.217849079461075
2011,CHI,Corey Crawford,16,218,435,1.295663830534201
2011,DET,Jimmy Howard,28,364,673,2.036910477127742
2011,LAK,Jonathan Quick,20,229,380,1.0466195970615095
2011,MTL,Carey Price,16,242,455,1.611779798041093
2011,NSH,Anders Lindback,0,9,13,0.11854348781508452
2011,NSH,Pekka Rinne,32,343,748,1.3663782869791954
2011,NYR,Henrik Lundqvist,13,156,346,0.7744789534097428
2011,PHI,Brian Boucher,22,229,422,0.8496542377715008
2011,PHI,Michael Leighton,4,29,70,-0.01195725784252262
2011,PHI,Sergei Bobrovsky,10,81,186,0.08206459388571781
2011,PHX,Ilya Bryzgalov,17,140,234,0.16980425649179726
2011,PIT,Brent Johnson,4,11,34,-0.24904423347269167
2011,PIT,Marc-Andre Fleury,17,168,405,0.5386062185831717
2011,SJS,Antero Niittymaki,1,30,91,0.29666227973861076
2011,SJS,Antti Niemi,56,538,1044,1.57123621149259
2011,TBL,Dwayne Roloson,41,541,982,3.0879909021060166
2011,TBL,Mike Smith,2,48,120,0.4352665757237757
2011,VAN,Cory Schneider,7,82,163,0.390684131466851
2011,VAN,Roberto Luongo,61,711,1427,3.357492079046415
2011,WSH,Michal Neuvirth,23,261,590,1.1726595148023529
2012,BOS,Tim Thomas,16,207,448,1.1546742380322703
2012,CHI,Corey Crawford,17,159,396,0.33050547062106034
2012,DET,Jimmy Howard,13,116,295,0.1705415542107898
2012,FLA,Jose Theodore,11,135,268,0.6862782297725983
2012,FLA,Scott Clemmensen,7,88,179,0.46747790508904935
2012,LAK,Jonathan Quick,29,538,1238,4.487672736931777
2012,NJD,Johan Hedberg,1,14,36,0.0877955608246065
2012,NJD,Martin Brodeur*,52,629,1471,3.1091680581158934
2012,NSH,Pekka Rinne,21,296,609,1.8731249814533755
2012,NYR,Henrik Lundqvist,38,554,1251,3.6598315568380784
2012,OTT,Craig Anderson,14,208,419,1.4056470763643258
2012,PHI,Ilya Bryzgalov,37,326,642,0.42428815339307274
2012,PHI,Sergei Bobrovsky,5,18,37,-0.32589550342958756
2012,PHX,Mike Smith,34,602,1027,4.838395928644892
2012,PIT,Brent Johnson,2,6,20,-0.1480091238538186
2012,PIT,Marc-Andre Fleury,26,157,337,-0.762099546702392
2012,SJS,Antti Niemi,13,151,318,0.6853601266019768
2012,STL,Brian Elliott,18,187,455,0.6242284604021416
2012,STL,Jake Allen,0,0,1,0
2012,STL,Jaroslav Halak,3,46,104,0.3222230907470978
2012,VAN,Cory Schneider,4,101,183,1.0130918363728083
2012,VAN,Roberto Luongo,7,64,117,0.11445945544937852
2012,WSH,Braden Holtby,30,459,922,3.2075218054026586
2013,ANA,Jonas Hiller,18,218,439,0.9843435792230971
2013,BOS,Tuukka Rask,46,761,1466,5.351248790254814
2013,CHI,Corey Crawford,46,674,1504,4.141245356606803
2013,DET,Jimmy Howard,35,461,859,2.43014590830856
2013,LAK,Jonathan Bernier,0,9,30,0.12517276899807017
2013,LAK,Jonathan Quick,34,518,1099,3.336663392386284
2013,MIN,Darcy Kuemper,4,33,73,0.003940364633135691
2013,MIN,Josh Harding,12,135,245,0.5125121698916876
2013,MTL,Carey Price,13,123,239,0.2318585308043139
2013,MTL,Peter Budaj,7,31,63,-0.3651456475251656
2013,NYI,Evgeni Nabokov,24,152,324,-0.6161297426357669
2013,NYI,Kevin Poulin,1,15,52,0.09486466790683658
2013,NYR,Henrik Lundqvist,27,411,756,2.644794546149967
2013,OTT,Craig Anderson,29,352,578,1.5967042774271691
2013,OTT,Robin Lehner,2,25,49,0.12018890859252304
2013,PIT,Marc-Andre Fleury,17,145,290,0.08280995555091951
2013,PIT,Tomas Vokoun,23,345,685,2.1818873618572416
2013,SJS,Antti Niemi,21,298,673,1.7557205734916579
2013,STL,Brian Elliott,12,149,378,0.7072253661109082
2013,TOR,James Reimer,21,272,438,1.3941103519416769
2013,VAN,Cory Schneider,9,75,117,0.01929688450772813
2013,VAN,Roberto Luongo,6,71,140,0.304934384000649
2013,WSH,Braden Holtby,16,205,433,1.031051695961334
2014,ANA,Frederik Andersen,19,189,368,0.7042135989010982
2014,ANA,John Gibson,9,111,200,0.6175976255886969
2014,ANA,Jonas Hiller,8,85,219,0.3682128139717424
2014,BOS,Tuukka Rask,25,348,753,2.2402021193092616
2014,CBJ,Sergei Bobrovsky,20,218,378,0.99327806122449
2014,CHI,Corey Crawford,52,590,1234,2.889378924646781
2014,COL,Semyon Varlamov,20,231,432,1.1652232142857142
2014,DAL,Kari Lehtonen,19,165,346,0.3867763932496074
2014,DAL,Tim Thomas,1,2,15,-0.06805239403453688
2014,DET,Jimmy Howard,6,87,178,0.5836769034536892
2014,DET,Jonas Gustavsson,6,72,133,0.3852786499215069
2014,LAK,Jonathan Quick,69,774,1605,3.716470761381475
2014,LAK,Martin Jones,0,7,56,0.09258585164835165
2014,MIN,Darcy Kuemper,11,127,325,0.640211440345369
2014,MIN,Ilya Bryzgalov,21,182,479,0.4226167582417586
2014,MTL,Carey Price,29,358,739,1.9944456436420728
2014,MTL,Dustin Tokarski,13,155,300,0.8215438579277868
2014,MTL,Peter Budaj,3,8,20,-0.17150510204081632
2014,NYR,Cam Talbot,2,13,46,-0.016470516091051813
2014,NYR,Henrik Lundqvist,54,737,1516,4.4826474195447386
2014,PHI,Ray Emery,10,89,172,0.22401123430141293
2014,PHI,Steve Mason,8,131,244,0.9425654925431712
2014,PIT,Marc-Andre Fleury,32,378,800,1.906548763736264
2014,SJS,Alex Stalock,4,56,117,0.35001373626373616
2014,SJS,Antti Niemi,19,164,305,0.36051903453689166
2014,STL,Ryan Miller,19,185,422,0.6285873724489793
2014,TBL,Anders Lindback,14,118,215,0.22936567896389345
2014,TBL,Kristers Gudlevskis,2,20,40,0.07288559654631079
2015,ANA,Frederik Andersen,41,472,1050,1.8835409605538334
2015,CGY,Jonas Hiller,14,173,322,0.7991488335616932
2015,CGY,Karri Ramo,16,171,336,0.5610408253407374
2015,CHI,Corey Crawford,47,616,1223,3.147215511646355
2015,CHI,Scott Darling,11,171,290,1.0903775600346146
2015,DET,Jimmy Howard,1,12,20,0.05237253912165572
2015,DET,Petr Mrazek,14,186,398,0.9705753767938277
2015,MIN,Darcy Kuemper,0,9,23,0.11867991454532346
2015,MIN,Devan Dubnyk,24,260,570,0.887714538112065
2015,MTL,Carey Price,28,352,752,1.6774176101536018
2015,NSH,Pekka Rinne,19,208,416,0.7313450998774075
2015,NYI,Jaroslav Halak,16,215,418,1.1412537408956516
2015,NYI,Michal Neuvirth,0,6,11,0.07911994303021562
2015,NYR,Henrik Lundqvist,41,570,1166,3.175833363380689
2015,OTT,Andrew Hammond,7,81,122,0.3270478023364824
2015,OTT,Craig Anderson,4,142,247,1.4490359306266678
2015,PIT,Marc-Andre Fleury,11,150,312,0.81345775942886
2015,STL,Brian Elliott,1,7,26,-0.013560746736857277
2015,STL,Jake Allen,12,125,328,0.3779239831975193
2015,TBL,Andrei Vasilevskiy,6,57,113,0.11643537715439531
2015,TBL,Ben Bishop,53,669,1459,3.21090426011394
2015,VAN,Eddie Lack,10,88,198,0.10175236172207396
2015,VAN,Ryan Miller,6,67,156,0.24830194887142124
2015,WPG,Ondrej Pavelec,15,137,241,0.21856182844162425
2015,WSH,Braden Holtby,23,412,806,2.9979537751496377
2015,WSH,Philipp Grubauer,3,21,60,-0.040682240210571874
2016,ANA,Frederik Andersen,7,132,297,1.0224682099338835
2016,ANA,John Gibson,6,60,117,0.18512995577334848
2016,CHI,Corey Crawford,19,205,448,0.7813617780614315
2016,DAL,Antti Niemi,13,96,237,-0.04115011021273192
2016,DAL,Kari Lehtonen,26,257,555,0.7632064247286788
2016,DET,Jimmy Howard,7,64,117,0.13793818115724246
2016,DET,Petr Mrazek,4,73,177,0.5526771903630533
2016,FLA,Roberto Luongo,15,227,438,1.4644250690775091
2016,LAK,Jonathan Quick,15,132,296,0.2286845876983784
2016,MIN,Devan Dubnyk,20,163,359,0.13581145456700952
2016,NSH,Carter Hutton,1,3,20,-0.06019956915693927
2016,NSH,Pekka Rinne,38,404,866,1.4846767888778656
2016,NYI,Jean-Francois Berube,0,2,5,0.02601558908166592
2016,NYI,Thomas Greiss,30,388,733,2.070335698460045
2016,NYR,Antti Raanta,4,38,94,0.0974043814338998
2016,NYR,Henrik Lundqvist,15,113,205,-0.018463508577447708
2016,PHI,Michal Neuvirth,2,105,178,1.1673725212285846
